name,status,ms,synonym,related,positive,negative,summary
نماد وساخت,A,1,"وساخت,سرمایه‌ گذاری‌ ساختمان‌ایران‌",صنعت راه و ساختمان,"بورس,سهام,شاخص,قرارداد",,"انبوه سازی, املاک و مستغلات"
نماد وساختح,A,1,"وساختح,ح. سرمایه‌ گذاری‌ ساختمان‌",صنعت راه و ساختمان,"بورس,سهام,شاخص,قرارداد",,"انبوه سازی, املاک و مستغلات"
نماد وسپه,A,1,"وسپه,سرمایه‌گذاری‌ سپه‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وسپهح,A,1,"وسپهح,ح. سرمایه‌گذاری‌ سپه‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وسدید,A,1,"وسدید,گروه‌صنعتی‌سدید (هلدینگ‌)",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد وسدیدح,A,1,"وسدیدح,ح. گروه‌صنعتی‌سدید (هلدینگ‌)",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد وسکاب,A,1,"وسکاب,سرمایه گذاری نور کوثر ایرانیان",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وسکابح,A,1,"وسکابح,ح. سرمایه گذاری نورکوثرایرانیان",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وسینا,A,1,"وسینا,بانک سینا",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بانکها و موسسات اعتباری
نماد وسیناح,A,1,"وسیناح,ح. بانک سینا",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بانکها و موسسات اعتباری
نماد وصنا,A,1,"وصنا,گروه‌صنایع‌بهشهرایران‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وصناح,A,1,"وصناح,ح. ‌گروه‌صنایع‌بهشهرایران‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وصندوق,A,1,"وصندوق,سرمایه‌گذاری‌صندوق‌بازنشستگی‌",,"بورس,سهام,شاخص,قرارداد",,شرکتهای چند رشته‌ای صنعتی
نماد وصندوقح,A,1,"وصندوقح,ح. سرمایه گذاری صندوق بازنشستگی",,"بورس,سهام,شاخص,قرارداد",,شرکتهای چند رشته‌ای صنعتی
نماد وصنعت,A,1,"وصنعت,سرمایه‌ گذاری‌ صنعت‌ ومعدن‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وصنعتح,A,1,"وصنعتح,ح. سرمایه‌ گذاری‌صنعت‌ ومعدن‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وغدیر,A,1,"وغدیر,سرمایه‌گذاری‌غدیر (هلدینگ‌)",,"بورس,سهام,شاخص,قرارداد",,شرکتهای چند رشته‌ای صنعتی
نماد وغدیرح,A,1,"وغدیرح,ح. سرمایه‌گذاری‌غدیر (هلدینگ‌)",,"بورس,سهام,شاخص,قرارداد",,شرکتهای چند رشته‌ای صنعتی
نماد وکار,A,1,"وکار,بانک‌ کارآفرین‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بانکها و موسسات اعتباری
نماد وکارح,A,1,"وکارح,ح. بانک‌ کارآفرین‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بانکها و موسسات اعتباری
نماد ولساپا,A,1,"ولساپا,لیزینگ رایان‌ سایپا",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ولساپاح,A,1,"ولساپاح,ح. لیزینگ رایان‌ سایپا",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ولصنم,A,1,"ولصنم,لیزینگ‌صنعت‌ومعدن‌",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ولصنمح,A,1,"ولصنمح,ح. لیزینگ‌صنعت‌ومعدن‌",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ولغدر,A,1,"ولغدر,لیزینگ‌خودروغدیر",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ولغدرح,A,1,"ولغدرح,ح. لیزینگ‌خودروغدیر",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ولملت,A,1,"ولملت,واسپاری ملت",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ولیز,A,1,"ولیز,لیزینگ‌ایران‌",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ولیزح,A,1,"ولیزح,ح. لیزینگ‌ایران‌",,"بورس,سهام,شاخص,قرارداد",,سایر واسطه گریهای مالی
نماد ومعادن,A,1,"ومعادن,توسعه‌معادن‌وفلزات‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,استخراج کانه‌های فلزی
نماد ومعادنح,A,1,"ومعادنح,ح. توسعه‌معادن‌وفلزات‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,استخراج کانه‌های فلزی
نماد ومعین,A,1,"ومعین,سرمایه گذاری توسعه معین ملت",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,واسطه‌گری‌های مالی و پولی
نماد وملت,A,1,"وملت,سرمایه‌گذاری‌ملت‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وملتح,A,1,"وملتح,ح. سرمایه‌گذاری‌ملت‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد وملی,A,1,"وملی,گروه‌ صنعتی‌ ملی‌ (هلدینگ‌)",صنعت نساجی و پوشاک,"بورس,سهام,شاخص,قرارداد",,"دباغی, پرداخت چرم و ساخت انواع پاپوش"
نماد وملیح,A,1,"وملیح,ح. گروه‌ صنعتی‌ ملی‌ (هلدینگ‌)",صنعت نساجی و پوشاک,"بورس,سهام,شاخص,قرارداد",,"دباغی, پرداخت چرم و ساخت انواع پاپوش"
نماد ونفت,A,1,"ونفت,سرمایه‌گذاری‌ صنعت‌ نفت‌",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد ونفتح,A,1,"ونفتح,ح. سرمایه‌گذاری‌ صنعت‌ نفت‌",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد ونوین,A,1,"ونوین,بانک‌اقتصادنوین‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بانکها و موسسات اعتباری
نماد ونوینح,A,1,"ونوینح,ح. بانک‌اقتصادنوین‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بانکها و موسسات اعتباری
نماد ونیرو,A,1,"ونیرو,سرمایه‌گذاری‌نیرو",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد ونیروح,A,1,"ونیروح,ح. سرمایه‌گذاری‌نیرو",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد ونیکی,A,1,"ونیکی,سرمایه‌گذاری‌ ملی‌ایران‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد ونیکیح,A,1,"ونیکیح,ح. سرمایه‌گذاری‌ ملی‌ایران‌",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
